source_ENSEMBL target_ENSEMBL interaction
ENSG00000118260 ENSG00000215182 1
ENSG00000118260 ENSG00000275176 1
ENSG00000118260 ENSG00000175745 -1
ENSG00000118260 ENSG00000080815 1
ENSG00000118260 ENSG00000177606 -1
ENSG00000118260 ENSG00000278540 1
ENSG00000118260 ENSG00000160113 -1
ENSG00000118260 ENSG00000137834 1
ENSG00000118260 ENSG00000104903 1
ENSG00000118260 ENSG00000064012 1
ENSG00000118260 ENSG00000104368 -1
ENSG00000118260 ENSG00000187098 1
ENSG00000118260 ENSG00000124216 -1
ENSG00000118260 ENSG00000117036 1
ENSG00000118260 ENSG00000176697 1
ENSG00000118260 ENSG00000136244 1
ENSG00000118260 ENSG00000073756 1
ENSG00000118260 ENSG00000156475 1
ENSG00000118260 ENSG00000185231 1
ENSG00000118260 ENSG00000137869 1
ENSG00000118260 ENSG00000126756 1
ENSG00000118260 ENSG00000019549 -1
ENSG00000118260 ENSG00000171791 1
ENSG00000118260 ENSG00000136634 1
ENSG00000118260 ENSG00000080986 1
ENSG00000118260 ENSG00000166197 1
ENSG00000118260 ENSG00000126010 1
ENSG00000118260 ENSG00000144136 1
ENSG00000118260 ENSG00000100292 -1
ENSG00000118260 ENSG00000145113 1
ENSG00000118260 ENSG00000175426 1
ENSG00000118260 ENSG00000113575 1
ENSG00000107175 ENSG00000121966 1
ENSG00000157613 ENSG00000115902 -1
ENSG00000146592 ENSG00000157601 1
ENSG00000146592 ENSG00000113732 1
ENSG00000146592 ENSG00000154589 -1
ENSG00000146592 ENSG00000114738 1
ENSG00000146592 ENSG00000137710 -1
ENSG00000146592 ENSG00000243649 1
ENSG00000146592 ENSG00000164761 -1
ENSG00000146592 ENSG00000069702 1
ENSG00000146592 ENSG00000115415 -1
ENSG00000146592 ENSG00000108679 -1
ENSG00000146592 ENSG00000152689 -1
ENSG00000005339 ENSG00000253293 1
ENSG00000005339 ENSG00000161905 1
ENSG00000005339 ENSG00000172273 1
ENSG00000005339 ENSG00000173404 1
ENSG00000005339 ENSG00000087191 1
ENSG00000005339 ENSG00000125347 1
ENSG00000005339 ENSG00000078399 1
ENSG00000005339 ENSG00000118260 1
ENSG00000005339 ENSG00000113520 1
ENSG00000005339 ENSG00000124762 1
ENSG00000143162 ENSG00000170606 -1
ENSG00000095794 ENSG00000117560 -1
ENSG00000095794 ENSG00000109471 -1
ENSG00000095794 ENSG00000159640 1
ENSG00000095794 ENSG00000118260 -1
ENSG00000095794 ENSG00000120875 -1
ENSG00000095794 ENSG00000160211 -1
ENSG00000095794 ENSG00000145386 -1
ENSG00000095794 ENSG00000120129 -1
ENSG00000095794 ENSG00000198821 -1
ENSG00000095794 ENSG00000275302 -1
ENSG00000095794 ENSG00000170345 -1
ENSG00000105662 ENSG00000109819 1
ENSG00000105392 ENSG00000278570 1
ENSG00000105392 ENSG00000163914 -1
ENSG00000105392 ENSG00000167995 1
ENSG00000105392 ENSG00000102104 1
ENSG00000159692 ENSG00000139618 -1
ENSG00000159692 ENSG00000012048 -1
ENSG00000159692 ENSG00000181885 -1
ENSG00000102974 ENSG00000164362 -1
ENSG00000102974 ENSG00000118849 1
ENSG00000102974 ENSG00000113916 -1
ENSG00000124092 ENSG00000107262 1
ENSG00000168036 ENSG00000165376 1
ENSG00000168036 ENSG00000075651 1
ENSG00000168036 ENSG00000084090 1
ENSG00000168036 ENSG00000157227 1
ENSG00000168036 ENSG00000177606 1
ENSG00000168036 ENSG00000137673 1
ENSG00000168036 ENSG00000139687 -1
ENSG00000168036 ENSG00000026025 1
ENSG00000168036 ENSG00000136997 1
ENSG00000257923 ENSG00000114251 1
ENSG00000257923 ENSG00000165168 1
ENSG00000276644 ENSG00000120659 -1
ENSG00000276644 ENSG00000170345 -1
ENSG00000204209 ENSG00000160224 -1
ENSG00000105516 ENSG00000160868 1
ENSG00000105516 ENSG00000136872 1
ENSG00000105516 ENSG00000167910 1
ENSG00000134574 ENSG00000112096 -1
ENSG00000134574 ENSG00000171791 -1
ENSG00000175197 ENSG00000115966 -1
ENSG00000175197 ENSG00000169136 -1
ENSG00000175197 ENSG00000148677 -1
ENSG00000175197 ENSG00000136244 1
ENSG00000175197 ENSG00000101255 1
ENSG00000175197 ENSG00000283100 -1
ENSG00000175197 ENSG00000096717 -1
ENSG00000175197 ENSG00000133318 1
ENSG00000175197 ENSG00000245848 -1
ENSG00000175197 ENSG00000164867 -1
ENSG00000175197 ENSG00000057663 1
ENSG00000175197 ENSG00000070669 -1
ENSG00000175197 ENSG00000068903 -1
ENSG00000175197 ENSG00000140941 1
ENSG00000177030 ENSG00000178394 -1
ENSG00000124795 ENSG00000171791 1
ENSG00000124795 ENSG00000126432 -1
ENSG00000174485 ENSG00000141736 -1
ENSG00000064195 ENSG00000135346 1
ENSG00000108813 ENSG00000012048 -1
ENSG00000105880 ENSG00000185950 1
ENSG00000105880 ENSG00000136997 1
ENSG00000105880 ENSG00000029559 1
ENSG00000130816 ENSG00000147889 -1
ENSG00000130816 ENSG00000128683 -1
ENSG00000130816 ENSG00000112715 1
ENSG00000130816 ENSG00000134046 -1
ENSG00000130816 ENSG00000120889 -1
ENSG00000130816 ENSG00000039068 -1
ENSG00000130816 ENSG00000164362 1
ENSG00000130816 ENSG00000189056 -1
ENSG00000130816 ENSG00000164399 -1
ENSG00000130816 ENSG00000064012 -1
ENSG00000130816 ENSG00000100234 -1
ENSG00000130816 ENSG00000089685 -1
ENSG00000130816 ENSG00000095002 1
ENSG00000130816 ENSG00000121966 -1
ENSG00000130816 ENSG00000139687 -1
ENSG00000130816 ENSG00000125845 -1
ENSG00000130816 ENSG00000008517 -1
ENSG00000119772 ENSG00000146674 -1
ENSG00000119772 ENSG00000113361 -1
ENSG00000142182 ENSG00000139372 -1
ENSG00000117505 ENSG00000073756 1
ENSG00000117505 ENSG00000112592 -1
ENSG00000117505 ENSG00000144852 1
ENSG00000260596 ENSG00000164683 1
ENSG00000101412 ENSG00000135679 -1
ENSG00000101412 ENSG00000106366 -1
ENSG00000101412 ENSG00000184990 1
ENSG00000101412 ENSG00000169083 1
ENSG00000101412 ENSG00000131747 1
ENSG00000101412 ENSG00000125144 1
ENSG00000101412 ENSG00000101460 1
ENSG00000101412 ENSG00000136048 1
ENSG00000101412 ENSG00000183765 1
ENSG00000101412 ENSG00000197442 1
ENSG00000101412 ENSG00000198589 1
ENSG00000101412 ENSG00000165806 1
ENSG00000101412 ENSG00000004799 -1
ENSG00000101412 ENSG00000120868 1
ENSG00000101412 ENSG00000143384 -1
ENSG00000101412 ENSG00000101057 1
ENSG00000101412 ENSG00000171791 1
ENSG00000101412 ENSG00000012048 -1
ENSG00000101412 ENSG00000132819 1
ENSG00000101412 ENSG00000124762 1
ENSG00000101412 ENSG00000085563 1
ENSG00000101412 ENSG00000134899 1
ENSG00000101412 ENSG00000169016 1
ENSG00000101412 ENSG00000073050 1
ENSG00000101412 ENSG00000126456 -1
ENSG00000101412 ENSG00000086991 1
ENSG00000101412 ENSG00000178585 1
ENSG00000101412 ENSG00000206075 1
ENSG00000101412 ENSG00000111206 1
ENSG00000101412 ENSG00000132646 1
ENSG00000101412 ERICD -1
ENSG00000101412 ENSG00000177169 1
ENSG00000101412 ENSG00000180530 1
ENSG00000101412 ENSG00000157240 1
ENSG00000101412 ENSG00000078900 1
ENSG00000101412 ENSG00000189266 -1
ENSG00000101412 ENSG00000105173 1
ENSG00000101412 ENSG00000110092 1
ENSG00000101412 ENSG00000166851 1
ENSG00000101412 ENSG00000105655 1
ENSG00000101412 ENSG00000087586 1
ENSG00000101412 ENSG00000144354 1
ENSG00000101412 ENSG00000189283 -1
ENSG00000101412 ENSG00000136997 1
ENSG00000101412 ENSG00000162595 -1
ENSG00000101412 ENSG00000105011 1
ENSG00000101412 ENSG00000186153 -1
ENSG00000101412 ENSG00000139687 1
ENSG00000101412 ENSG00000088808 1
ENSG00000101412 ENSG00000164342 -1
ENSG00000101412 ENSG00000176890 1
ENSG00000101412 ENSG00000145604 1
ENSG00000101412 ENSG00000170312 1
ENSG00000101412 ENSG00000012061 1
ENSG00000101412 ENSG00000171848 1
ENSG00000101412 ENSG00000120659 1
ENSG00000101412 ENSG00000149311 1
ENSG00000101412 ENSG00000198087 1
ENSG00000101412 ENSG00000044574 -1
ENSG00000101412 ENSG00000228716 1
ENSG00000101412 ENSG00000113360 1
ENSG00000101412 ENSG00000167633 1
ENSG00000101412 ENSG00000147316 1
ENSG00000101412 ENSG00000057663 1
ENSG00000101412 ENSG00000130600 1
ENSG00000101412 ENSG00000077782 1
ENSG00000101412 ENSG00000138670 1
ENSG00000101412 ENSG00000172575 1
ENSG00000101412 ENSG00000276043 1
ENSG00000101412 ENSG00000167325 1
ENSG00000101412 ENSG00000140479 1
ENSG00000101412 ENSG00000006634 1
ENSG00000101412 ENSG00000187741 1
ENSG00000101412 ENSG00000147889 1
ENSG00000101412 ENSG00000164938 1
ENSG00000101412 ENSG00000105327 1
ENSG00000101412 ENSG00000177374 1
ENSG00000101412 ENSG00000112715 -1
ENSG00000101412 ENSG00000137801 1
ENSG00000101412 ENSG00000134323 1
ENSG00000101412 ENSG00000035664 1
ENSG00000101412 ENSG00000137309 1
ENSG00000101412 ENSG00000132170 1
ENSG00000101412 ENSG00000103313 1
ENSG00000101412 ENSG00000145113 1
ENSG00000101412 ENSG00000120129 1
ENSG00000101412 ENSG00000130816 -1
ENSG00000101412 ENSG00000143514 1
ENSG00000101412 ENSG00000175832 1
ENSG00000101412 ENSG00000149308 1
ENSG00000112242 ENSG00000124762 1
ENSG00000112242 ERICD -1
ENSG00000112242 ENSG00000087586 1
ENSG00000205250 ENSG00000162595 -1
ENSG00000205250 ENSG00000172534 1
